Education,Marital_Status,Income,Kidhome,Teenhome,Complain,Country_CA,Country_GER,Country_IND,Country_ME,Country_SA,Country_SP,Country_US,Total_Dependents,Is_parent,Age,Income_per_Capita,Actual_Success,Success_Probability
4,0,85696.0,0,0,0,0,0,0,0,0,1,0,0,0,53,85696.0,1,0.8706525140104773
4,0,82571.0,0,0,0,0,0,0,0,0,1,0,0,0,53,82571.0,0,0.8633706109017848
4,0,82800.0,0,0,0,0,0,0,0,1,0,0,0,0,69,82800.0,1,0.8613538544844602
4,0,82733.0,0,0,0,0,0,0,0,0,1,0,0,0,31,82733.0,1,0.8590969200180512
3,0,91172.0,0,0,0,1,0,0,0,0,0,0,0,0,25,91172.0,1,0.8298136756662008
4,0,66582.0,0,0,0,0,0,0,0,0,1,0,0,0,46,66582.0,0,0.8187572997492224
4,1,93027.0,0,0,0,0,0,0,0,0,1,0,0,0,74,93027.0,0,0.8155218752705744
2,0,96843.0,0,0,0,0,0,0,0,0,1,0,0,0,25,96843.0,1,0.8138448687391847
3,0,78789.0,0,0,0,0,0,0,0,0,1,0,0,0,35,78789.0,1,0.8071485367226031
2,0,90842.0,0,0,0,0,0,0,0,0,1,0,0,0,67,90842.0,0,0.8066536348987744
3,0,75777.0,0,0,0,0,0,0,0,0,0,0,0,0,33,75777.0,1,0.8044837297904215
3,0,75012.0,0,0,0,0,0,0,0,0,0,0,0,0,39,75012.0,0,0.8037249303212683
3,0,90247.0,0,0,0,0,0,0,0,0,0,1,0,0,27,90247.0,1,0.8009972169999355
3,0,75345.0,0,0,0,0,0,0,0,0,1,0,0,0,45,75345.0,1,0.7989452018890312
4,1,85431.0,0,0,0,0,0,0,0,0,1,0,0,0,63,85431.0,0,0.7880537903020143
3,0,73454.0,0,0,0,0,0,0,0,0,1,0,0,0,28,73454.0,0,0.7877348351801549
4,1,91820.0,0,0,0,1,0,0,0,0,0,0,0,0,29,91820.0,0,0.786205929120133
2,0,84574.0,0,0,0,0,0,0,0,0,1,0,0,0,63,84574.0,0,0.784926902710412
2,0,86429.0,0,0,0,0,0,0,0,1,0,0,0,0,54,86429.0,1,0.7800792939142693
4,0,51141.0,0,0,0,0,0,0,0,0,1,0,0,0,75,51141.0,0,0.776829634529174
4,0,48948.0,0,0,0,0,0,0,0,0,0,0,0,0,72,48948.0,1,0.7764394041808258
2,0,83917.0,0,0,0,0,0,0,0,0,1,0,0,0,42,83917.0,1,0.776271548741813
3,0,72309.0,0,0,0,1,0,0,0,0,0,0,0,0,39,72309.0,1,0.773442749039292
4,0,65295.0,0,0,0,0,0,0,0,0,0,1,0,0,35,65295.0,0,0.7695819615898453
2,0,79941.0,0,0,0,0,0,0,0,0,0,0,0,0,39,79941.0,0,0.7695511360410289
4,0,62159.0,0,0,0,0,0,0,0,0,0,1,0,0,69,62159.0,0,0.7690387741462359
2,0,79800.0,0,0,0,0,0,0,0,0,1,0,0,0,60,79800.0,1,0.7672393486659195
4,1,82333.0,0,0,0,0,1,0,0,0,0,0,0,0,29,82333.0,1,0.76466501316197
2,0,86037.0,0,0,0,1,0,0,0,0,0,0,0,0,24,86037.0,1,0.7640725562809071
4,1,82072.0,0,0,0,0,0,0,0,1,0,0,0,0,45,82072.0,0,0.761947167801325
